Name,Team,Position,Games,Targets,Receptions,Percentage,Yards,Touchdowns,Long,Yards_per_target,Yards_per_reception,Attempts,Rushing_yards,Average_rushing_yards,Rushing_touchdown,Fumbles,Lost_yards,Fantasy_points_per_game,Fantasy_points,Year
Taylor Gabriel,ATL,WR,16,51,33,64.7,378,1,40,7.4,11.5,8,49,6.1,0,0,0,3.0,48.7,2017
TJ Jones,DET,WR,14,49,30,61.2,399,1,34,8.1,13.3,0,0,0.0,0,1,0,3.4,47.9,2017
Seth Roberts,LV,WR,15,65,43,66.2,455,1,29,7.0,10.6,0,0,0.0,0,2,2,3.2,47.5,2017
Bruce Ellington,HOU,WR,11,57,29,50.9,330,2,35,5.8,11.4,3,17,5.7,0,1,0,4.2,46.7,2017
Josh Bellamy,CHI,WR,15,46,24,52.2,376,1,46,8.2,15.7,1,6,6.0,0,0,0,2.9,44.2,2017
Zay Jones,BUF,WR,15,74,27,36.5,316,2,33,4.3,11.7,0,0,0.0,0,0,0,2.9,43.6,2017
Cody Latimer,DEN,WR,11,31,19,61.3,287,2,32,9.3,15.1,0,0,0.0,0,1,0,3.9,42.7,2017
Corey Coleman,CLE,WR,9,57,23,40.4,305,2,44,5.4,13.3,0,0,0.0,0,0,0,4.7,42.5,2017
Tavarres King,NYG,WR,8,37,18,48.6,240,3,57,6.5,13.3,2,3,1.5,0,0,0,5.3,42.3,2017
Chris Moore,BAL,WR,13,38,18,47.4,248,3,30,6.5,13.8,2,-9,-4.5,0,0,0,3.2,41.9,2017
Rashard Higgins,CLE,WR,15,50,27,54.0,312,2,56,6.2,11.6,1,4,4.0,0,1,1,2.8,41.6,2017
Dontrelle Inman,CHI,WR,12,44,25,56.8,343,1,26,7.8,13.7,0,0,0.0,0,0,0,3.4,40.3,2017
Justin Hardy,ATL,WR,16,29,20,69.0,221,3,27,7.6,11.0,0,0,0.0,0,1,0,2.5,40.1,2017
Dede Westbrook,JAX,WR,7,51,27,52.9,339,1,29,6.6,12.6,0,0,0.0,0,1,0,5.7,39.9,2017
Josh Gordon,CLE,WR,5,43,18,41.9,335,1,54,7.8,18.6,0,0,0.0,0,0,0,7.9,39.5,2017
Aldrick Robinson,SF,WR,16,48,19,39.6,260,2,45,5.4,13.7,0,0,0.0,0,0,0,2.4,38.0,2017
Kenny Britt,NE,WR,12,43,20,46.5,256,2,38,6.0,12.8,0,0,0.0,0,0,0,3.1,37.6,2017
Johnny Holton,LV,WR,16,18,9,50.0,218,3,64,12.1,24.2,0,0,0.0,0,3,2,2.2,35.8,2017
Ricardo Louis,CLE,WR,16,61,27,44.3,357,0,37,5.9,13.2,0,0,0.0,0,0,0,2.2,35.7,2017
Corey Davis,TEN,WR,11,65,34,52.3,375,0,37,5.8,11.0,0,0,0.0,0,1,1,3.2,35.5,2017
Chester Rogers,IND,WR,11,37,23,62.2,284,1,61,7.7,12.3,3,8,2.7,0,0,0,3.2,35.2,2017
Tyler Boyd,CIN,WR,10,32,22,68.8,225,2,49,7.0,10.2,0,0,0.0,0,0,0,3.4,34.5,2017
Taywan Taylor,TEN,WR,16,28,16,57.1,231,1,53,8.2,14.4,8,43,5.4,0,0,0,2.1,33.4,2017
Jarius Wright,MIN,WR,16,25,18,72.0,198,2,30,7.9,11.0,0,0,0.0,0,0,0,2.0,31.8,2017
Jakeem Grant Sr.,MIA,WR,16,22,13,59.1,203,2,65,9.2,15.6,3,12,4.0,0,2,1,2.0,31.5,2017
Tavon Austin,LAR,WR,16,22,13,59.1,56,0,13,2.5,4.3,59,270,4.6,1,5,4,1.9,30.6,2017
Andre Holmes,BUF,WR,14,23,13,56.5,120,3,36,5.2,9.2,0,0,0.0,0,0,0,2.1,30.0,2017
Terrelle Pryor,WAS,WR,9,37,20,54.1,240,1,44,6.5,12.0,0,0,0.0,0,0,0,3.3,30.0,2017
Mack Hollins,PHI,WR,16,22,16,72.7,226,1,64,10.3,14.1,0,0,0.0,0,0,0,1.8,28.6,2017
Russell Shepard,CAR,WR,15,33,17,51.5,202,1,40,6.1,11.9,2,19,9.5,0,1,0,1.9,28.1,2017
Michael Campanaro,BAL,WR,13,27,19,70.4,173,1,18,6.4,9.1,5,42,8.4,0,4,0,2.1,27.5,2017
De'Anthony Thomas,KC,WR,16,16,14,87.5,143,2,57,8.9,10.2,1,4,4.0,0,1,0,1.7,26.7,2017
Kendrick Bourne,SF,WR,11,34,16,47.1,257,0,54,7.6,16.1,0,0,0.0,0,0,0,2.3,25.7,2017
Jeremy Kerley,NYJ,WR,8,27,22,81.5,217,1,31,8.0,9.9,0,0,0.0,0,3,2,3.0,23.7,2017
Damiere Byrd,CAR,WR,8,17,10,58.8,105,2,31,6.2,10.5,1,12,12.0,0,0,0,3.0,23.7,2017
Jamal Agnew,DET,WR,13,2,2,100.0,18,0,12,9.0,9.0,2,9,4.5,0,3,0,1.8,23.7,2017
Alex Erickson,CIN,WR,16,16,12,75.0,180,1,37,11.2,15.0,5,16,3.2,0,6,1,1.5,23.6,2017
Geronimo Allison,GB,WR,15,39,23,59.0,253,0,72,6.5,11.0,0,0,0.0,0,2,1,1.6,23.3,2017
Braxton Miller,HOU,WR,11,29,19,65.5,162,1,57,5.6,8.5,1,1,1.0,0,0,0,2.0,22.3,2017
Demarcus Robinson,KC,WR,16,39,21,53.8,212,0,33,5.4,10.1,0,0,0.0,0,0,0,1.3,21.2,2017
Phillip Dorsett,NE,WR,15,18,12,66.7,194,0,39,10.8,16.2,1,7,7.0,0,0,0,1.3,20.1,2017
Laquon Treadwell,MIN,WR,16,35,20,57.1,200,0,25,5.7,10.0,0,0,0.0,0,1,0,1.2,20.0,2017
Eli Rogers,PIT,WR,14,36,18,50.0,149,1,18,4.1,8.3,0,0,0.0,0,1,1,1.4,18.9,2017
Louis Murphy,SF,WR,7,17,8,47.1,121,1,40,7.1,15.1,0,0,0.0,0,0,0,2.6,18.1,2017
Curtis Samuel,CAR,WR,9,26,15,57.7,115,0,23,4.4,7.7,4,64,16.0,0,0,0,2.0,17.9,2017
Chris Conley,KC,WR,5,16,11,68.8,175,0,35,10.9,15.9,0,0,0.0,0,0,0,3.5,17.5,2017
Tommylee Lewis,NO,WR,15,15,10,66.7,116,1,52,7.7,11.6,2,14,7.0,0,1,1,1.1,17.0,2017
Josh Reynolds,LAR,WR,16,24,11,45.8,104,1,28,4.3,9.5,0,0,0.0,0,0,0,1.0,16.4,2017
Jaydon Mickens,JAX,WR,10,11,6,54.5,77,2,41,7.0,12.8,0,0,0.0,0,4,2,1.6,15.7,2017
Brandon Marshall,NYG,WR,5,33,18,54.5,154,0,18,4.7,8.6,0,0,0.0,0,0,0,3.1,15.4,2017
Tre McBride,CHI,WR,8,15,8,53.3,144,0,45,9.6,18.0,0,0,0.0,0,0,0,1.8,14.4,2017
Jordan Taylor,DEN,WR,10,20,13,65.0,142,0,30,7.1,10.9,0,0,0.0,0,1,0,1.4,14.2,2017
Brandon Tate,BUF,WR,13,14,6,42.9,81,1,24,5.8,13.5,0,0,0.0,0,1,0,1.1,14.1,2017
Darrius Heyward-Bey,PIT,WR,16,3,2,66.7,47,0,44,15.7,23.5,2,32,16.0,1,0,0,0.9,13.9,2017
Kamar Aiken,IND,WR,15,44,15,34.1,133,0,21,3.0,8.9,0,0,0.0,0,0,0,0.9,13.3,2017
Brenton Bersin,CAR,WR,8,14,8,57.1,128,0,27,9.1,16.0,0,0,0.0,0,0,0,1.6,12.8,2017
Josh Malone,CIN,WR,11,17,6,35.3,63,1,25,3.7,10.5,2,2,1.0,0,0,0,1.1,12.5,2017
Maurice Harris,WAS,WR,6,6,4,66.7,62,1,36,10.3,15.5,0,0,0.0,0,0,0,2.0,12.2,2017
Marvin Hall,ATL,WR,8,9,2,22.2,60,1,40,6.7,30.0,0,0,0.0,0,0,0,1.5,12.0,2017
Hunter Sharp,NYG,WR,3,9,5,55.6,54,1,21,6.0,10.8,0,0,0.0,0,0,0,3.8,11.4,2017
Ardarius Stewart,NYJ,WR,15,13,6,46.2,82,0,46,6.3,13.7,7,27,3.9,0,0,0,0.7,10.9,2017
Travis Rudolph,NYG,WR,7,21,8,38.1,101,0,29,4.8,12.6,0,0,0.0,0,0,0,1.4,10.1,2017
Jaelen Strong,JAX,WR,2,4,3,75.0,38,1,19,9.5,12.7,0,0,0.0,0,0,0,4.9,9.8,2017
Freddie Martino,TB,WR,8,6,5,83.3,96,0,39,16.0,19.2,0,0,0.0,0,0,0,1.2,9.6,2017
Mike Williams,LAC,WR,10,23,11,47.8,95,0,20,4.1,8.6,0,0,0.0,0,0,0,1.0,9.5,2017
Chad Hansen,NYJ,WR,15,16,9,56.2,94,0,24,5.9,10.4,0,0,0.0,0,0,0,0.6,9.4,2017
Mike Thomas,LAR,WR,8,7,5,71.4,93,0,50,13.3,18.6,0,0,0.0,0,1,0,1.2,9.3,2017
Kaelin Clay,CAR,WR,13,20,6,30.0,85,0,28,4.2,14.2,3,27,9.0,0,3,1,0.7,9.2,2017
Jesus Wilson,TB,WR,3,1,1,100.0,18,1,18,18.0,18.0,3,8,2.7,0,0,0,2.9,8.6,2017
Kasen Williams,CLE,WR,7,18,9,50.0,84,0,14,4.7,9.3,0,0,0.0,0,0,0,1.2,8.4,2017
