Rank,Name,TGTS,REC,PCT,YDS,TD,LNG,Y/T,Y/R,ATT,YDS,AVG,TD,FUM,LST,FPTS/G,FPTS
42,Mack Hollins,94,57,60.6,690,4,60,7.3,12.1,4,40,10,0,0,0,5.7,97.16
43,Jahan Dotson,61,35,57.4,523,7,61,8.6,14.9,2,-7,-3.5,0,0,0,8,95.6
44,K.J. Osborn,90,60,66.7,650,5,66,7.2,10.8,3,6,2,0,1,0,5.6,95.6
45,Courtland Sutton,109,64,58.7,829,2,51,7.6,13,1,5,5,0,0,0,6.4,95.4
46,Diontae Johnson,147,86,58.5,882,0,37,6,10.3,7,25,3.6,0,1,0,5.6,94.7
47,Marquise Brown,107,67,62.6,709,3,47,6.6,10.6,1,1,1,0,1,0,7.4,89
48,Brandin Cooks,93,57,61.3,699,3,44,7.5,12.3,2,7,3.5,0,0,0,6.8,88.6
49,DeAndre Hopkins,96,64,66.7,717,3,33,7.5,11.2,0,0,0,0,2,1,9.7,87.7
50,Parris Campbell,91,63,69.2,623,3,49,6.8,9.9,5,58,11.6,0,1,0,5.1,86.1
51,Darius Slayton,71,46,64.8,724,2,55,10.2,15.7,0,0,0,0,2,1,5.2,82.4
52,Marquez Valdes-Scantling,81,42,51.9,687,2,57,8.5,16.4,1,-3,-3,0,0,0,4.7,80.4
53,Isaiah McKenzie,65,42,64.6,423,4,30,6.5,10.1,9,55,6.1,1,0,0,5.2,77.8
54,Richie James,70,57,81.4,569,4,33,8.1,10,2,6,3,0,3,3,4.4,75.5
55,Devin Duvernay,49,37,75.5,407,3,31,8.3,11,12,84,7,1,1,0,5.2,73.1
56,Russell Gage,70,51,72.9,426,5,23,6.1,8.4,0,0,0,0,1,1,5.6,72.6
57,Rashid Shaheed,34,28,82.4,488,2,68,14.4,17.4,4,57,14.2,1,1,0,6,72.5
58,DeVante Parker,47,31,66,539,3,43,11.5,17.4,0,0,0,0,0,0,5.5,71.9
59,Noah Brown,73,43,58.9,555,3,51,7.6,12.9,0,0,0,0,1,1,4.5,71.5
60,Alec Pierce,78,41,52.6,593,2,47,7.6,14.5,0,0,0,0,1,0,4.5,71.3
61,Marvin Jones Jr.,81,46,56.8,529,3,37,6.5,11.5,0,0,0,0,0,0,4.4,70.9
62,Olamide Zaccheaus,61,40,65.6,533,3,45,8.7,13.3,2,7,3.5,0,1,1,4.1,70
63,Mecole Hardman Jr.,34,25,73.5,297,4,36,8.7,11.9,4,31,7.8,2,1,0,8.6,68.8
64,DJ Chark Jr.,52,30,57.7,502,3,51,9.7,16.7,0,0,0,0,0,0,6.2,68.2
65,Chris Moore,74,48,64.9,548,2,52,7.4,11.4,3,3,1,0,0,0,4.2,67.1
66,Michael Gallup,74,39,52.7,424,4,27,5.7,10.9,0,0,0,0,0,0,4.7,66.4
67,DeAndre Carter,65,46,70.8,538,3,35,8.3,11.7,2,-15,-7.5,0,3,2,3.9,66.3
68,Josh Reynolds,59,38,64.4,479,3,31,8.1,12.6,0,0,0,0,0,0,4.7,65.9
69,Corey Davis,64,32,50,536,2,66,8.4,16.8,0,0,0,0,0,0,5,65.6
70,Kalif Raymond,64,47,73.4,616,0,56,9.6,13.1,7,36,5.1,0,3,1,3.7,63.2
71,Marquise Goodwin,42,27,64.3,387,4,38,9.2,14.3,2,5,2.5,0,0,0,4.9,63.2
72,Isaiah Hodgins,48,37,77.1,392,4,29,8.2,10.6,0,0,0,0,1,1,6.3,63.2
73,Robert Woods,91,53,58.2,527,2,41,5.8,9.9,0,0,0,0,1,1,3.7,62.7
74,Darnell Mooney,61,40,65.6,493,2,56,8.1,12.3,1,2,2,0,0,0,5.1,61.5
75,Greg Dortch,64,52,81.2,467,2,47,7.3,9,7,44,6.3,0,1,1,3.8,61.1
76,Treylon Burks,54,33,61.1,444,1,51,8.2,13.5,4,47,11.8,1,0,0,5.6,61.1
77,Nico Collins,66,37,56.1,481,2,58,7.3,13,0,0,0,0,0,0,6,60.1
78,Romeo Doubs,67,42,62.7,425,3,26,6.3,10.1,1,11,11,0,2,1,4.6,59.6
79,Chase Claypool,79,46,58.2,451,1,31,5.7,9.8,9,59,6.6,0,1,1,3.9,59.04
80,Nick Westbrook-Ikhine,50,25,50,397,3,63,7.9,15.9,0,0,0,0,0,0,3.4,57.7
81,Demarcus Robinson,75,48,64,458,2,31,6.1,9.5,0,0,0,0,2,1,3.3,55.8
82,Terrace Marshall Jr.,47,28,59.6,490,1,43,10.4,17.5,0,0,0,0,2,0,3.9,55
83,Van Jefferson,44,24,54.5,369,3,39,8.4,15.4,0,0,0,0,0,0,5,54.9
84,Trent Sherfield,51,30,58.8,417,2,75,8.2,13.9,0,0,0,0,0,0,3.2,53.7
85,Kendrick Bourne,48,35,72.9,434,1,41,9,12.4,6,39,6.5,0,2,0,3.3,53.3
86,Allen Robinson II,52,33,63.5,339,3,29,6.5,10.3,0,0,0,0,0,0,5.2,51.9
87,Quez Watkins,50,33,66,354,3,53,7.1,10.7,3,1,0.3,0,1,1,3,51.5
88,Elijah Moore,65,37,56.9,446,1,42,6.9,12.1,5,5,1,0,1,0,3.2,51.1
89,Trenton Irwin,23,15,65.2,231,4,45,10,15.4,1,11,11,0,0,0,5.4,48.2
90,Randall Cobb,50,34,68,417,1,40,8.3,12.3,0,0,0,0,1,0,3.7,47.7
91,Jauan Jennings,56,35,62.5,416,1,44,7.4,11.9,0,0,0,0,1,0,3,47.6
92,Jamal Agnew,30,23,76.7,187,3,24,6.2,8.1,12,86,7.2,0,0,0,3.2,47.3
93,Rondale Moore,56,41,73.2,414,1,38,7.4,10.1,6,-5,-0.8,0,0,0,5.9,46.9
94,Julio Jones,43,24,55.8,299,2,48,7,12.5,5,45,9,0,0,0,4.6,46.4
95,Dante Pettis,41,19,46.3,245,3,51,6,12.9,2,37,18.5,0,1,0,2.7,46.2
96,Laviska Shenault Jr.,32,27,84.4,272,1,67,8.5,10.1,9,65,7.2,1,0,0,3.5,45.7
97,Ben Skowronek,61,39,63.9,376,0,32,6.2,9.6,1,17,17,1,0,0,3.2,45.3
98,Tutu Atwell,35,18,51.4,298,1,62,8.5,16.6,9,34,3.8,1,0,0,3.5,45.2
99,Tyquan Thornton,45,22,48.9,247,2,29,5.5,11.2,3,16,5.3,1,0,0,3.4,44.3
100,Nelson Agholor,53,31,58.5,362,2,44,6.8,11.7,0,0,0,0,2,2,2.8,44.2
101,Ray-Ray McCloud III,25,14,56,243,1,42,9.7,17.4,4,78,19.5,1,2,0,2.6,44.1
102,Equanimeous St. Brown,38,21,55.3,323,1,56,8.5,15.4,6,54,9,0,1,0,2.7,43.7
103,Justin Watson,34,15,44.1,315,2,67,9.3,21,0,0,0,0,0,0,2.6,43.5
104,Hunter Renfrow,50,36,72,330,2,27,6.6,9.2,0,0,0,0,3,1,4.3,43
105,Kadarius Toney,20,16,80,171,2,38,8.6,10.7,7,82,11.7,1,1,1,4.6,41.3
106,Braxton Berrios,32,18,56.2,145,0,25,4.5,8.1,9,91,10.1,2,2,0,2.3,39.68
107,Shi Smith,41,22,53.7,296,2,38,7.2,13.5,0,0,0,0,4,1,2.3,39.6
108,Damiere Byrd,23,13,56.5,268,2,75,11.7,20.6,0,0,0,0,0,0,2.8,38.8
109,Rashod Bateman,28,15,53.6,285,2,75,10.2,19,0,0,0,0,1,1,6.4,38.5
110,A.J. Green,47,24,51.1,236,2,77,5,9.8,0,0,0,0,0,0,2.5,37.6
111,Jarvis Landry,39,25,64.1,272,1,40,7,10.9,0,0,0,0,1,0,3.9,35.2
112,Michael Thomas,22,16,72.7,171,3,21,7.8,10.7,0,0,0,0,0,0,11.7,35.1
113,Tre'Quan Smith,27,19,70.4,278,1,48,10.3,14.6,0,0,0,0,0,0,2.3,33.8
114,Kendall Hinton,33,24,72.7,311,0,35,9.4,13,2,13,6.5,0,0,0,2.7,32.4
115,Robbie Chosen,44,20,45.5,282,1,75,6.4,14.1,0,0,0,0,1,1,2,32.2
116,Phillip Dorsett,40,20,50,257,1,34,6.4,12.8,0,0,0,0,0,0,2.1,31.7
117,Sammy Watkins,27,16,59.3,325,0,55,12,20.3,0,0,0,0,1,1,2.5,30.5
118,Wan'Dale Robinson,31,23,74.2,227,1,19,7.3,9.9,2,-1,-0.5,0,0,0,4.8,28.6
119,KhaDarel Hodge,20,13,65,202,1,39,10.1,15.5,0,0,0,0,0,0,1.7,28.2
120,Dyami Brown,14,5,35.7,143,2,75,10.2,28.6,1,15,15,0,0,0,1.9,27.8
121,Ashton Dulin,22,15,68.2,207,1,39,9.4,13.8,2,8,4,0,0,0,2.3,27.5
122,Velus Jones Jr.,14,7,50,107,1,44,7.6,15.3,9,103,11.4,1,4,3,2.2,27
123,Byron Pringle,16,10,62.5,135,2,35,8.4,13.5,0,0,0,0,0,0,2.3,25.5
124,Khalil Shakir,20,10,50,161,1,31,8,16.1,0,0,0,0,0,0,1.7,24.1
125,Jalen Nailor,13,9,69.2,179,1,47,13.8,19.9,0,0,0,0,0,0,1.6,23.9
126,Brandon Powell,32,24,75,156,0,16,4.9,6.5,17,80,4.7,0,1,0,1.4,23.6
127,Amari Rodgers,25,16,64,204,1,37,8.2,12.8,2,7,3.5,0,6,2,1.4,23.1
128,River Cracraft,14,9,64.3,102,2,22,7.3,11.3,0,0,0,0,0,0,2,22.2
129,Marquez Callaway,32,16,50,158,1,33,4.9,9.9,0,0,0,0,0,0,1.6,21.8
130,David Bell,35,24,68.6,214,0,20,6.1,8.9,0,0,0,0,0,0,1.3,21.4
131,Skyy Moore,33,22,66.7,250,0,30,7.6,11.4,3,24,8,0,3,3,1.3,21.4
132,Sterling Shepard,24,13,54.2,154,1,65,6.4,11.8,0,0,0,0,0,0,7.1,21.4
133,Zach Pascal,19,15,78.9,150,1,34,7.9,10,1,0,0,0,0,0,1.2,21
134,Keelan Cole Sr.,21,10,47.6,141,1,30,6.7,14.1,0,0,0,0,1,0,1.4,20.1
135,Scotty Miller,40,23,57.5,185,0,23,4.6,8,1,8,8,0,0,0,1.3,19.3
136,Jalen Reagor,13,8,61.5,104,1,38,8,13,4,25,6.2,0,4,0,1.1,18.9
137,KJ Hamler,14,7,50,165,0,55,11.8,23.6,2,23,11.5,0,0,0,2.7,18.8
138,Denzel Mims,25,11,44,186,0,63,7.4,16.9,0,0,0,0,0,0,1.9,18.6
139,N'Keal Harry,9,7,77.8,116,1,49,12.9,16.6,0,0,0,0,0,0,2.5,17.6
140,Steven Sims,23,14,60.9,104,0,28,4.5,7.4,13,70,5.4,0,3,0,1.4,17.4
141,DeSean Jackson,17,9,52.9,153,0,62,9,17,0,0,0,0,0,0,2.2,15.3
142,Anthony Schwartz,10,4,40,51,0,19,5.1,12.8,4,57,14.2,1,1,1,1.3,14.8
143,Cedrick Wilson Jr.,18,12,66.7,136,0,21,7.6,11.3,1,8,8,0,0,0,1,14.4
144,Breshad Perriman,19,9,47.4,110,1,28,5.8,12.2,2,-7,-3.5,0,2,1,1.3,14.3
145,Samori Toure,10,5,50,82,1,37,8.2,16.4,0,0,0,0,1,0,1.3,14.2
146,Kenny Golladay,17,6,35.3,81,1,25,4.8,13.5,0,0,0,0,0,0,1.2,14.1
147,Tom Kennedy,15,8,53.3,141,0,44,9.4,17.6,0,0,0,0,0,0,2,14.1
148,Jameson Williams,9,1,11.1,41,1,41,4.6,41,1,40,40,0,0,0,2.4,14.1
149,Jeff Smith,11,8,72.7,134,0,50,12.2,16.8,0,0,0,0,0,0,1.2,13.4
150,T.Y. Hilton,10,7,70,121,0,52,12.1,17.3,0,0,0,0,0,0,4,12.1
151,Jalen Virgil,5,2,40,75,1,66,15,37.5,0,0,0,0,1,1,1.3,11.5
152,David Sills V,17,11,64.7,106,0,24,6.2,9.6,0,0,0,0,0,0,1.2,10.6
153,John Brown,2,1,50,42,1,42,21,42,0,0,0,0,0,0,3.4,10.2
154,Marcus Johnson,22,9,40.9,99,0,18,4.5,11,0,0,0,0,0,0,0.7,9.9
155,Dax Milne,7,6,85.7,37,1,12,5.3,6.2,0,0,0,0,1,0,0.6,9.7
156,Cam Sims,18,8,44.4,89,0,21,4.9,11.1,0,0,0,0,0,0,0.5,8.9
157,Michael Bandy,21,10,47.6,89,0,25,4.2,8.9,0,0,0,0,0,0,0.9,8.9
158,Brandon Johnson,14,6,42.9,42,1,12,3,7,0,0,0,0,1,1,1.2,8.2
159,Kevin White,5,2,40,74,0,64,14.8,37,0,0,0,0,0,0,1.1,7.4
160,Freddie Swain,6,4,66.7,74,0,52,12.3,18.5,0,0,0,0,1,0,1.8,7.4
161,Ty Montgomery II,4,3,75,15,1,7,3.8,5,2,-2,-1,0,0,0,7.3,7.3
162,Gunner Olszewski,7,5,71.4,53,0,31,7.6,10.6,8,39,4.9,0,3,1,0.4,7.2
163,Dee Eskridge,13,7,53.8,58,0,16,4.5,8.3,2,10,5,0,0,0,0.7,6.8
164,Jake Kumerow,7,4,57.1,64,0,39,9.1,16,0,0,0,0,0,0,1.1,6.4
165,Jalen Guyton,4,2,50,64,0,54,16,32,0,0,0,0,0,0,2.1,6.4
166,Jamison Crowder,13,6,46.2,60,0,16,4.6,10,0,0,0,0,1,0,1.5,6
167,Mike Strachan,9,3,33.3,59,0,23,6.6,19.7,0,0,0,0,0,0,0.5,5.9
168,Deven Thompkins,10,5,50,32,0,13,3.2,6.4,2,26,13,0,1,0,1.2,5.8
169,Trent Taylor,10,6,60,62,0,34,6.2,10.3,4,15,3.8,0,2,1,0.4,5.7
170,Cody Hollister,5,3,60,54,0,27,10.8,18,0,0,0,0,0,0,0.5,5.4
171,Chris Conley,7,4,57.1,46,0,27,6.6,11.5,0,0,0,0,0,0,0.5,4.6
172,Andre Baccellia,10,7,70,45,0,11,4.5,6.4,0,0,0,0,0,0,0.6,4.5
173,Racey McMath,8,2,25,40,0,39,5,20,1,4,4,0,0,0,0.9,4.4
174,James Proche II,17,8,47.1,62,0,12,3.6,7.8,0,0,0,0,0,0,0.3,4.2
175,Laquon Treadwell,10,6,60,42,0,17,4.2,7,0,0,0,0,0,0,0.7,4.2
176,Michael Woods II,10,5,50,45,0,15,4.5,9,1,-5,-5,0,0,0,0.4,4
177,Mike Thomas,10,2,20,38,0,33,3.8,19,0,0,0,0,0,0,0.4,3.8
178,Kyle Philips,13,8,61.5,78,0,21,6,9.8,0,0,0,0,2,2,1,3.8
179,Cole Beasley,7,6,85.7,35,0,9,5,5.8,0,0,0,0,0,0,0.9,3.5
180,Tylan Wallace,7,4,57.1,33,0,12,4.7,8.2,0,0,0,0,0,0,0.4,3.3
181,Tim Jones,4,3,75,30,0,20,7.5,10,0,0,0,0,0,0,0.2,3
182,Jaelon Darden,2,2,100,26,0,25,13,13,1,2,2,0,0,0,0.2,2.8
183,Tyrie Cleveland,7,2,28.6,28,0,16,4,14,0,0,0,0,0,0,0.5,2.8
184,DJ Turner,1,0,0,0,0,0,0,0,4,26,6.5,0,1,0,0.3,2.6
185,Daylen Baldwin,2,2,100,25,0,15,12.5,12.5,0,0,0,0,0,0,2.5,2.5
186,Dezmon Patmon,6,2,33.3,24,0,17,4,12,0,0,0,0,0,0,2.4,2.4
187,Simi Fehoko,4,3,75,24,0,12,6,8,0,0,0,0,0,0,0.5,2.4
188,Dareke Young,2,2,100,24,0,12,12,12,0,0,0,0,0,0,0.2,2.4
189,Andy Isabella,5,2,40,21,0,11,4.2,10.5,1,1,1,0,0,0,0.4,2.2
190,Cade Johnson,4,2,50,21,0,11,5.2,10.5,0,0,0,0,0,0,0.7,2.1
191,Pharoh Cooper,2,2,100,6,0,3,3,3,4,15,3.8,0,0,0,0.4,2.1
192,Lil'Jordan Humphrey,4,2,50,20,0,11,5,10,0,0,0,0,0,0,0.3,2
193,Penny Hart,4,3,75,20,0,15,5,6.7,0,0,0,0,0,0,0.2,2
194,Danny Gray,7,1,14.3,10,0,10,1.4,10,1,9,9,0,0,0,0.1,1.9
195,Keith Kirkwood,4,2,50,18,0,14,4.5,9,0,0,0,0,0,0,0.4,1.8
196,Juwann Winfree,4,1,25,17,0,17,4.2,17,0,0,0,0,0,0,0.6,1.7
197,Dennis Houston,6,2,33.3,16,0,11,2.7,8,0,0,0,0,0,0,0.8,1.6
198,Bryan Edwards,5,3,60,15,0,10,3,5,0,0,0,0,0,0,0.2,1.5
199,Quintez Cephus,3,2,66.7,15,0,9,5,7.5,0,0,0,0,0,0,0.4,1.5
200,Frank Darby,1,1,100,15,0,15,15,15,0,0,0,0,0,0,0.3,1.5
201,Nsimba Webster,3,2,66.7,14,0,8,4.7,7,0,0,0,0,1,0,0.7,1.4
202,Austin Trammell,4,2,50,13,0,8,3.2,6.5,0,0,0,0,0,0,0.2,1.3
203,Jalen Tolbert,3,2,66.7,12,0,8,4,6,0,0,0,0,0,0,0.2,1.2
204,Montrell Washington,9,4,44.4,2,0,4,0.2,0.5,5,30,6,0,5,1,0.1,1.2
205,Miles Boykin,3,2,66.7,11,0,11,3.7,5.5,0,0,0,0,0,0,0.1,1.1
206,Tyron Billy-Johnson,1,1,100,8,0,8,8,8,0,0,0,0,0,0,0.2,0.8
207,Maurice Alexander,1,1,100,7,0,7,7,7,0,0,0,0,0,0,0.2,0.7
208,Jalen Camp,1,1,100,7,0,7,7,7,0,0,0,0,0,0,0.4,0.7
209,Jacob Harris,1,1,100,6,0,6,6,6,0,0,0,0,0,0,0.1,0.6
210,C.J. Board,1,1,100,6,0,6,6,6,0,0,0,0,1,0,0.2,0.6
211,Jason Moore,2,1,50,5,0,5,2.5,5,0,0,0,0,0,0,0.1,0.5
212,Erik Ezukanma,1,1,100,3,0,3,3,3,0,0,0,0,0,0,0.3,0.3
213,Mason Kinsey,1,1,100,3,0,3,3,3,0,0,0,0,1,0,0.2,0.3
214,Cody White,1,1,100,2,0,2,2,2,0,0,0,0,0,0,0.2,0.2
215,Lance McCutcheon,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,Matthew Slater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,Jared Bernhardt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,Malik Turner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Britain Covey,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
220,Andre Roberts,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
221,Rashard Higgins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,Stanley Morgan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,Tyler Johnson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,Keke Coutee,1,1,100,20,0,20,20,20,0,0,0,0,4,1,0,0
225,Kaylon Geiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,Raleigh Webb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,Josh Gordon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,Willie Snead IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,Dan Chisena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,Tanner Gentry,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,Dez Fitzpatrick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,Javon Wims,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,Brandon Zylstra,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
234,Ethan Fernea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,Kyric McGowan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,Marcus Kemp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,Stanley Berryhill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,Tay Martin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,Lynn Bowden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,Binjimen Victor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,Trinity Benson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Cornell Powell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,Alex Erickson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,Kwamie Lassiter II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,Kirk Merritt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,James Washington,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Josh Ali,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,Preston Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,Johnny Johnson III,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,Braylon Sanders,3,2,66.7,17,0,13,5.7,8.5,0,0,0,0,1,1,-0.1,-0.3
251,Ihmir Smith-Marsette,4,1,25,15,0,15,3.8,15,1,-1,-1,0,1,1,-0.1,-0.6
252,Deonte Harty,2,2,100,13,0,9,6.5,6.5,0,0,0,0,2,1,-0.2,-0.7
253,KaVontae Turpin,2,1,50,9,0,9,4.5,9,3,17,5.7,0,3,2,-0.1,-1.4
254,Chester Rogers,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.7,-2
